@relation balanceGender

@attribute time numeric
@attribute memory numeric
@attribute continent {Asia,'North America',Europe,Unknown,'South America',AsiaEurope,AsiaAfrica,Australia,Africa,'South Africa',Antarctica,Antarctic}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
108,103700,Europe,63,489,314.499263,2922.889883,87.333333,255265.7164,68,59,59,9,0,28,3,female
77,37800,Asia,80,446,425.754248,2819.57993,56.5,159306.2661,53,39,37,14,2,19,3,male
140,4800,Europe,61,495,301.355699,2935.714982,54.777778,160811.9429,72,65,64,7,1,26,1,male
77,42900,Asia,83,526,446.833624,3353.270741,67.565217,226564.4666,61,57,57,4,0,35,4,male
187,149600,Asia,75,555,392.17102,3456.994373,35.539474,122859.7606,58,37,37,21,0,24,2,female
170,149600,Asia,75,555,392.17102,3456.994373,35.539474,122859.7606,58,37,37,21,0,24,2,male
46,5800,Asia,84,554,454.1955,3541.343852,56.625,200528.5956,80,54,37,26,17,26,1,male
46,5800,Asia,84,554,454.1955,3541.343852,56.625,200528.5956,80,54,37,26,17,26,1,female
46,2300,Asia,84,554,454.1955,3541.343852,56.625,200528.5956,80,54,37,26,17,26,1,male
124,90500,Asia,48,394,227.630622,2200.475225,24.230769,53319.20738,93,76,76,17,0,28,2,male
77,73900,Asia,65,622,326.731624,3745.91278,77,288435.284,69,64,64,5,0,44,3,male
93,83800,AsiaAfrica,59,384,289.564006,2258.934931,64.895833,146595.4648,72,58,50,14,8,26,2,female
62,12000,Asia,66,462,333.324018,2792.510083,72,201060.726,59,42,35,17,7,23,1,male
46,5600,Asia,52,321,249.011774,1829.84115,23.676471,43324.18016,63,43,40,20,3,18,1,male
187,101000,Asia,76,579,399.184538,3617.55003,81.097561,293374.4842,69,62,61,7,1,32,2,male
140,55900,Asia,78,590,414.08385,3708.387309,50.782609,188321.5816,60,43,40,17,3,22,3,male
108,83700,Asia,42,389,194.994331,2097.611477,45.833333,96140.52605,84,72,72,12,0,21,2,male
92,71100,Asia,69,441,352.582306,2693.859285,53.454545,143999.0236,57,51,51,6,0,32,2,male
124,52600,Asia,73,501,378.867075,3101.102104,70.054054,217244.7744,77,62,57,15,5,27,2,male
248,69100,Asia,58,434,281.962048,2542.363752,45.351852,115300.9042,88,75,70,13,5,24,2,male
77,55400,Asia,89,558,488.714938,3613.459254,67.803922,245006.7079,56,44,41,12,3,29,2,male
77,53700,Asia,83,578,446.833624,3684.772791,63.141304,232661.3603,73,65,65,8,0,31,3,male
61,62500,Asia,68,396,345.947473,2410.635285,26.5,63881.83506,68,56,55,12,1,24,2,female
77,36900,Asia,81,485,433.608756,3074.827251,42.98913,132184.1498,64,47,37,17,10,25,2,female
62,36400,Europe,70,479,359.421245,2935.926565,61.052632,179246.0429,92,75,68,17,7,27,2,male
93,67100,Asia,62,486,307.160171,2893.739407,59.5,172177.4947,65,56,52,9,4,33,2,male
92,52400,Asia,44,397,212.401259,2167.394353,26.428571,57281.13646,94,81,81,13,0,30,3,male
62,17100,Asia,82,516,439.883164,3280.496834,35.355556,115983.7881,66,42,42,24,0,19,2,female
61,23700,AsiaEurope,61,385,302.213705,2283.333875,61.92,141384.0335,102,85,79,17,6,25,2,male
77,68000,Asia,62,458,308.328733,2727.02191,31.846154,86845.15929,86,72,61,14,11,28,3,male
249,116000,Asia,42,440,207.421245,2372.619666,19,45079.77365,97,82,79,15,3,39,2,male
109,53400,Asia,78,471,413.188728,2960.424445,52.159091,154413.0478,69,45,29,24,16,29,4,male
186,84700,Asia,58,523,281.812656,3063.72406,69.642857,213366.4971,43,32,31,11,1,21,2,male
77,67100,Asia,92,503,508.670141,3281.351664,65.94,216372.3287,67,55,54,12,1,23,1,male
92,67100,Asia,92,503,508.670141,3281.351664,65.94,216372.3287,67,55,54,12,1,23,1,male
171,8800,Asia,68,467,345.989912,2842.845147,39.242424,111560.1353,64,56,55,8,1,32,2,male
62,36800,Europe,52,483,245.818751,2753.312384,92.261905,254025.8449,91,70,64,21,6,28,2,male
77,75100,Asia,51,428,239.445384,2427.798046,26.428571,64163.23408,72,66,66,6,0,29,2,male
46,9200,Asia,81,574,432.75063,3639.073902,48.162791,175267.9547,85,77,77,8,0,29,3,female
93,65000,Asia,71,523,365.642206,3216.317744,67.569444,217324.8031,74,58,56,16,2,25,2,male
77,51500,Europe,80,483,425.790319,3053.49127,69.914634,213483.725,90,66,53,24,13,26,9,male
77,52900,Europe,78,544,412.261373,3419.258807,81,276959.9634,63,50,44,13,6,24,3,male
